dataset,version,representation,encoder_mode,freeze_autoencoder,freeze_esm2,autoencoder_version,head_type,seed,phase,learning_rate,head_learning_rate,representation_learning_rate,encoder_learning_rate,esm_learning_rate,weight_decay,dropout,autoencoder_embedding_dropout,esm_embedding_dropout,status,run_dir,artifacts_copied,checkpoint_dir,error,sources,source_run_dir,selection_epoch,best_val_f1,val_loss_at_selection,val_accuracy_at_selection
solubility,v5,esm2,frozen,True,True,,linear,42,tuning,0.0001,0.0001,,0.0001,0.0001,0.0,,0.0,0.0,complete,Code/results/classifier/solubility/v5/frozen/tuning/linear/esm2/lr_1e-4_wd_0_seed_42,True,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/frozen/tuning/linear/esm2/lr_1e-4_wd_0_seed_42,,source_1,/Users/josh/GWU/research/v5/encoder_lr_1e-4/frozen/tuning/linear/esm2/lr_1e-4_wd_0_seed_42,24,0.5353455123113582,0.6061419715664291,0.6629213483146067
solubility,v5,esm2,frozen,True,True,,linear,42,tuning,0.0001,0.0001,,0.0001,0.0001,0.0001,,0.0,0.0,complete,Code/results/classifier/solubility/v5/frozen/tuning/linear/esm2/lr_1e-4_wd_1e-4_seed_42,True,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/frozen/tuning/linear/esm2/lr_1e-4_wd_1e-4_seed_42,,source_1,/Users/josh/GWU/research/v5/encoder_lr_1e-4/frozen/tuning/linear/esm2/lr_1e-4_wd_1e-4_seed_42,29,0.5342685370741483,0.605311924529948,0.6652261596081821
solubility,v5,esm2,frozen,True,True,,mlp,42,tuning,0.0001,0.0001,,0.0001,0.0001,0.0,0.1,0.0,0.0,complete,Code/results/classifier/solubility/v5/frozen/tuning/mlp/esm2/lr_1e-4_wd_0_do_0.1_seed_42,True,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/frozen/tuning/mlp/esm2/lr_1e-4_wd_0_do_0.1_seed_42,,source_1,/Users/josh/GWU/research/v5/encoder_lr_1e-4/frozen/tuning/mlp/esm2/lr_1e-4_wd_0_do_0.1_seed_42,20,0.6397803329328986,0.5654984237446423,0.6976375684240853
solubility,v5,esm2,frozen,True,True,,mlp,42,tuning,0.0001,0.0001,,0.0001,0.0001,0.0,0.3,0.0,0.0,complete,Code/results/classifier/solubility/v5/frozen/tuning/mlp/esm2/lr_1e-4_wd_0_do_0.3_seed_42,True,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/frozen/tuning/mlp/esm2/lr_1e-4_wd_0_do_0.3_seed_42,,source_1,/Users/josh/GWU/research/v5/encoder_lr_1e-4/frozen/tuning/mlp/esm2/lr_1e-4_wd_0_do_0.3_seed_42,20,0.6330483336241494,0.5666961281658833,0.6970613656006914
solubility,v5,esm2,frozen,True,True,,mlp,42,tuning,0.0001,0.0001,,0.0001,0.0001,0.0001,0.1,0.0,0.0,complete,Code/results/classifier/solubility/v5/frozen/tuning/mlp/esm2/lr_1e-4_wd_1e-4_do_0.1_seed_42,True,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/frozen/tuning/mlp/esm2/lr_1e-4_wd_1e-4_do_0.1_seed_42,,source_1,/Users/josh/GWU/research/v5/encoder_lr_1e-4/frozen/tuning/mlp/esm2/lr_1e-4_wd_1e-4_do_0.1_seed_42,20,0.6378896882494005,0.5687197249858189,0.6954768078363583
solubility,v5,esm2,frozen,True,True,,mlp,42,tuning,0.0001,0.0001,,0.0001,0.0001,0.0001,0.3,0.0,0.0,complete,Code/results/classifier/solubility/v5/frozen/tuning/mlp/esm2/lr_1e-4_wd_1e-4_do_0.3_seed_42,True,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/frozen/tuning/mlp/esm2/lr_1e-4_wd_1e-4_do_0.3_seed_42,,source_1,/Users/josh/GWU/research/v5/encoder_lr_1e-4/frozen/tuning/mlp/esm2/lr_1e-4_wd_1e-4_do_0.3_seed_42,20,0.629874651810585,0.5704278443979963,0.6937481993661769
solubility,v5,trained_autoencoder,frozen,True,True,v5,linear,42,tuning,0.0001,0.0001,,0.0001,0.0001,0.0,,0.0,0.0,complete,Code/results/classifier/solubility/v5/frozen/tuning/linear/trained_autoencoder/lr_1e-4_wd_0_seed_42,True,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/frozen/tuning/linear/trained_autoencoder/lr_1e-4_wd_0_seed_42,,source_1,/Users/josh/GWU/research/v5/encoder_lr_1e-4/frozen/tuning/linear/trained_autoencoder/lr_1e-4_wd_0_seed_42,18,0.6058760300967395,0.5791205823747749,0.683088447133391
solubility,v5,trained_autoencoder,frozen,True,True,v5,linear,42,tuning,0.0001,0.0001,,0.0001,0.0001,0.0001,,0.0,0.0,complete,Code/results/classifier/solubility/v5/frozen/tuning/linear/trained_autoencoder/lr_1e-4_wd_1e-4_seed_42,True,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/frozen/tuning/linear/trained_autoencoder/lr_1e-4_wd_1e-4_seed_42,,source_1,/Users/josh/GWU/research/v5/encoder_lr_1e-4/frozen/tuning/linear/trained_autoencoder/lr_1e-4_wd_1e-4_seed_42,24,0.6055934026532808,0.5784015940919248,0.683088447133391
solubility,v5,trained_autoencoder,frozen,True,True,v5,mlp,42,tuning,0.0001,0.0001,,0.0001,0.0001,0.0,0.1,0.0,0.0,complete,Code/results/classifier/solubility/v5/frozen/tuning/mlp/trained_autoencoder/lr_1e-4_wd_0_do_0.1_seed_42,True,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/frozen/tuning/mlp/trained_autoencoder/lr_1e-4_wd_0_do_0.1_seed_42,,source_1,/Users/josh/GWU/research/v5/encoder_lr_1e-4/frozen/tuning/mlp/trained_autoencoder/lr_1e-4_wd_0_do_0.1_seed_42,15,0.6791814645695924,0.5393034053600958,0.7267358110054739
solubility,v5,trained_autoencoder,frozen,True,True,v5,mlp,42,tuning,0.0001,0.0001,,0.0001,0.0001,0.0,0.3,0.0,0.0,complete,Code/results/classifier/solubility/v5/frozen/tuning/mlp/trained_autoencoder/lr_1e-4_wd_0_do_0.3_seed_42,True,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/frozen/tuning/mlp/trained_autoencoder/lr_1e-4_wd_0_do_0.3_seed_42,,source_1,/Users/josh/GWU/research/v5/encoder_lr_1e-4/frozen/tuning/mlp/trained_autoencoder/lr_1e-4_wd_0_do_0.3_seed_42,15,0.6779135823721811,0.5273827267239191,0.7304811293575338
